Value0_mean,Value1_mean,Value2_mean,l2_norm_mean,Value0_rms,Value1_rms,Value2_rms,l2_norm_rms,Value0_max,Value1_max,Value2_max,l2_norm_max,Value0_std,Value1_std,Value2_std,l2_norm_std,Value0_min,Value1_min,Value2_min,l2_norm_min,Value0_kurt,Value1_kurt,Value2_kurt,l2_norm_kurt,Value0_skew,Value1_skew,Value2_skew,l2_norm_skew,Value0_energy,Value1_energy,Value2_energy,l2_norm_energy,Value0_median,Value1_median,Value2_median,l2_norm_median,Value0_negtiveCount,Value1_negtiveCount,Value2_negtiveCount,l2_norm_negtiveCount,Value0_positaveCount,Value1_positaveCount,Value2_positaveCount,l2_norm_positaveCount,Value0_avgAbsoluteDiff,Value1_avgAbsoluteDiff,Value2_avgAbsoluteDiff,l2_norm_avgAbsoluteDiff,Value0_meadianAbsDiff,Value1_meadianAbsDiff,Value2_meadianAbsDiff,l2_norm_meadianAbsDiff,Value0_ValuesAboveMean,Value1_ValuesAboveMean,Value2_ValuesAboveMean,l2_norm_ValuesAboveMean,Value0_numberPeaks,Value1_numberPeaks,Value2_numberPeaks,l2_norm_numberPeaks,Class
0.001048409,0.003459788,-0.001407329,0.022812307,0.008707833,0.009172308,0.021271179,0.024747134,0.025095468,0.026824494,0.052145612,0.055515428,0.008644489,0.008494769,0.021224573,0.009592669,-0.018904532,-0.021175506,-0.039854388,0.0064963,0.354074664,0.502626456,-1.003934393,-0.366414267,-0.243593347,-0.020264995,-0.201098208,0.382926343,0.012890481,0.014302311,0.076918721,0.104111513,0.001095468,0.006824494,0.004145612,0.023053236,85,83,81,0,85,87,89,170,0.007152941,0.007074879,0.018378962,0.007934667,0.004,0.008,0.016,0.007395684,85,86,89,86,44,47,26,49,3
-8.10E-05,0.004518611,-0.001783799,0.025271831,0.008216848,0.010130655,0.024063162,0.027371199,0.025095468,0.030824494,0.036145612,0.050916948,0.008216449,0.009067101,0.023996955,0.010512713,-0.018904532,-0.025175506,-0.047854388,0.005196559,-0.187582258,1.219519744,-1.165173205,-0.60289044,-0.252998167,-0.345841972,-0.474994745,0.343806384,0.011477821,0.017447128,0.098436083,0.127361033,-0.002904532,0.006824494,0.006145612,0.024348074,93,68,77,0,77,102,93,170,0.006948097,0.007156263,0.021028651,0.008442931,0.008,0.004,0.014,0.006808866,77,99,93,76,53,47,27,50,3
0.001307232,0.003977435,-0.001948505,0.021835537,0.008074244,0.00813396,0.021207647,0.02410641,0.017095468,0.026824494,0.036145612,0.049149246,0.00796772,0.007095161,0.021117945,0.010214125,-0.022904532,-0.017175506,-0.047854388,0.004967336,-0.152689451,0.014806268,-0.826216985,-0.347544665,-0.452630063,-0.212468909,-0.321010954,0.688113151,0.011082882,0.011247422,0.076459929,0.098790232,-0.002904532,0.006824494,-0.003854388,0.019747963,86,78,90,0,84,92,80,170,0.006896609,0.006234464,0.017829758,0.008331955,0.008,0.006,0.02,0.006905176,84,92,80,68,53,47,31,52,3
6.02E-05,0.005012729,-0.001454388,0.020537727,0.007251127,0.009936754,0.018384839,0.022120584,0.017095468,0.026824494,0.036145612,0.050299809,0.007250878,0.008579722,0.018327222,0.008217176,-0.018904532,-0.017175506,-0.039854388,0.004967336,-0.144704506,0.52886154,-0.981165317,0.205889819,-0.400261012,-0.37937228,-0.088343933,0.588330054,0.008938404,0.016785643,0.057460391,0.083184439,-0.002904532,0.006824494,-0.003854388,0.019534916,95,65,86,0,75,105,84,170,0.006184083,0.006991003,0.015887059,0.006786126,0.008,0.004,0.012,0.005697485,75,105,84,80,42,49,28,49,3
0.00020135,0.003224494,-0.001736741,0.021404063,0.007675395,0.009130541,0.019769021,0.023088799,0.017095468,0.026824494,0.036145612,0.044172051,0.007672753,0.008542214,0.019692586,0.008657872,-0.018904532,-0.025175506,-0.039854388,0.004967336,-0.343798178,0.808099265,-1.128271794,-0.525723433,-0.455598505,0.087117519,-0.242508773,0.39891915,0.010014986,0.014172351,0.066438413,0.09062575,-0.002904532,-0.001175506,0.000145612,0.020813248,91,89,84,0,79,81,86,170,0.006619239,0.007058824,0.017292734,0.007080565,0.008,0.008,0.016,0.006975817,79,80,86,79,53,51,26,48,3
0.000413115,0.005036258,-0.001383799,0.021380039,0.007259015,0.010004775,0.019954048,0.023472385,0.025095468,0.026824494,0.052145612,0.056180548,0.00724725,0.008644746,0.019906008,0.009687454,-0.018904532,-0.017175506,-0.047854388,0.004967336,0.438125802,0.466620518,-0.76704796,0.423599969,-0.172650073,-0.163099934,-0.315686937,0.752070876,0.00895786,0.017016239,0.067687886,0.093661985,-0.002904532,0.006824494,0.004145612,0.020335863,98,67,81,0,72,103,89,170,0.006130934,0.006992941,0.017224913,0.007640766,0.004,0.004,0.016,0.006481009,72,102,89,76,38,45,27,46,3
-0.000269238,0.013012729,-0.014795564,0.034259195,0.012244497,0.020068745,0.030244484,0.038306801,0.041095468,0.046824494,0.056145612,0.097022378,0.012241537,0.0152782,0.026378402,0.01713822,-0.026904532,-0.017175506,-0.091854388,0.005196559,-0.128740046,-0.577917083,0.033221692,1.07560266,0.102287991,0.114309327,-0.005848387,0.993703303,0.025487711,0.068468266,0.155503894,0.249459872,-0.002904532,0.010824494,-0.011854388,0.031237223,90,48,127,0,80,122,43,170,0.010178547,0.012268512,0.020704498,0.013527971,0.012,0.012,0.016,0.010849388,80,70,87,77,50,40,56,54,3
-0.000928062,-0.013669624,0.002686789,0.031306638,0.01054579,0.022219819,0.024577538,0.034770525,0.037095468,0.094824494,0.056145612,0.102509926,0.010504874,0.017517469,0.024430238,0.015128907,-0.026904532,-0.049175506,-0.055854388,0.007239356,0.15390902,7.314474764,-0.169580429,2.128250365,-0.146322131,1.360196669,-0.102181437,1.063407374,0.018906327,0.083932459,0.102689414,0.205528199,-0.002904532,-0.017175506,0.004145612,0.029412205,93,145,75,0,77,25,95,170,0.008562491,0.012894394,0.019431419,0.011712979,0.008,0.012,0.016,0.009443492,77,81,93,72,47,45,35,47,3
-0.001657473,-0.001104918,-0.00136027,0.069514943,0.03487074,0.045644064,0.049246144,0.075660635,0.141095468,0.074824494,0.124145612,0.183265155,0.034831327,0.045630688,0.049227353,0.029869791,-0.070904532,-0.113175506,-0.107854388,0.012266228,1.147074644,-0.990905912,-0.535888752,0.856453621,0.766119537,-0.371754657,0.358901603,0.800050678,0.206714651,0.354174696,0.412281051,0.973170398,-0.002904532,0.006824494,-0.007854388,0.065215933,97,81,94,0,73,89,76,170,0.026646644,0.039408443,0.040687612,0.023377,0.02,0.036,0.032,0.018209981,73,89,76,72,33,42,35,48,3
-0.000363356,-0.000728447,-0.000419094,0.027251197,0.011805447,0.021251468,0.017640803,0.030036501,0.025095468,0.042824494,0.052145612,0.063850018,0.011799853,0.02123898,0.017635824,0.012631851,-0.038904532,-0.049175506,-0.047854388,0.0064963,0.207318314,-0.679338492,0.140960972,0.380148791,-0.587315704,0.209428643,-0.27659248,0.827935769,0.023692656,0.076776232,0.052903647,0.153372535,-0.002904532,-0.001175506,0.004145612,0.024655168,90,100,84,0,80,70,86,170,0.009514187,0.017608304,0.01454782,0.01004408,0.008,0.016,0.012,0.008031447,80,70,86,72,42,47,25,45,3
